Palabra,Descripción,Categoría,Sinónimos,Antónimos
MAÑOSO/A,Que tiene maña de comer determinados alimentos.,adj.,"Mañoso, regodeón.",
MAPA,Representación geográfica de la Tierra o parte de ella en una superficie plana.,sust. m.,"Mapa, plano, atlas.",
MAQUILLARSE,Verbo espacial locativo Aplicar cosméticos al rostro.,v. tr.,"Maquillarse, pintarse.",
MAR,Masa de agua salada que cubre la mayor parte de la superficie de la Tierra.,sust. m.,"Mar, océano.",
MARATÓN,"Carrera pedestre y de resistencia, practicada por deporte en una longitud entre los 40 y los 42 kilómetros.",sust. f.,"Maratón, carrera.",
MARCHAR,Verbo espacial locativo Grupo de personas que avanzan caminando con cierto orden y compás.,v. intr.,"Marchar, desfilar.",
MAREARSE,"Verbo pleno Malestar que se produce en la cabeza o el estómago, con el movimiento de una embarcación o por alguna enfermedad.",v. intr.,Marearse.,
MARFIL,"Materia dura, compacta y blanca de la que están principalmente formados los colmillos de algunos vertebrados, como el elefante. Se usa para la fabricación de diversos objetos.",sust. m.,Marfil.,
MARIDO,Hombre casado con respecto a su mujer.,sust. m.,"Marido, esposo, cónyuge.",
MARIHUANA,"Planta que se cultiva del cáñamo, que tiene propiedades estupefacientes e hipnóticas.",sust. f.,Marihuana.,
MARINERO,Hombre de mar que presta servicio en una embarcación.,sust. m.,"Marinero, tripulante, navegante.",
MARIPOSA,"Insecto de alas de diversos colores, se alimenta del polen de las flores. Se desarrolla desde una larva u oruga que se transforma en pupa y luego da lugar a la mariposa.",sust. f.,Mariposa.,
MARISCO,"Cualquier animal marino invertebrado, especialmente crustáceos y moluscos comestibles.",sust. m.,Marisco.,
MARTE,Planeta cuya distancia al sol es una vez y media de la de la Tierra. Se distingue por su color rojizo y opaco. Tiene dos satélites.,sust. p.,Marte.,
MARTES,Segundo día de la semana civil.,sust. m.,Martes.,
MARTILLO,"Herramienta de percusión, que tiene una cabeza de hierro y un mango de madera y se ocupa para clavar.",sust. m.,Martillo.,
MARZO,"Tercer mes del año, tiene treinta y un días.",sust. m.,Marzo.,
MÁS,Que denota aumento.,adv.,"Más, aumento.","Menos, disminución."
MÁS-O-MENOS,De manera aproximada.,adv.,"Más o menos, alrededor, casi, algo.",
MASA,Mezcla que resulta de harina con agua y levadura.,sust. f.,Masa.,
MASAJE,"Acción consistente en presionar o frotar con intensidad adecuada determinadas zonas del cuerpo, principalmente los músculos, con fines terapéuticos, deportivos, estéticos, etc.",sust. m.,"Masaje, friega, fricción.",
MÁSCARA,"Figura que representa un rostro humano, de animal o imaginario, con la que una persona puede cubrirse la cara para no ser reconocida, para tomar el aspecto de otra o para practicar ciertas actividades escénicas.",sust.,"f . Máscara, antifaz, careta.",
MATAR,Verbo espacial locativo Quitar la vida.,v. tr.,"Matar, eliminar, asesinar, ejecutar.","Revivir, resucitar, salvar."
MATE,Calabaza seca y ahuecada que sirve para tomar infusión. // 2. Infusión que se obtiene de la hierba mate y que se toma con bombilla.,sust. m.,Mate.,
MATEMÁTICA,Ciencia que trata de la cantidad y el cálculo.,sust. f.,"Matemática, aritmética.",
MATRÍCULA,"Registro que se lleva de los nombres de personas inscritas en alguna institución, generalmente de educación.",sust. f.,"Matrícula, inscripción.",
MATRIMONIO,Unión de hombre y mujer concertada mediante determinados ritos o formalidades legales.,sust. m.,Matrimonio.,
MATRONA,Profesional de la salud que trabaja para asistir a las mujeres durante el parto o nacimiento de su hijo.,sust. f.,"Matrona, partera, comadrona.",
MAULE,Séptima Región de Chile. Su capital es Talca.,sust. p.,Maule.,
MAYO,"Quinto mes del año, tiene treinta y un días.",sust. m.,Mayo.,
MAYÚSCULA,"Letra capital que se usa para el inicio de un escrito, después de un punto o para el inicio de los nombres propios.",sust. f.,Letra mayúscula.,Letra minúscula.
MECÁNICO,Persona dedicada al manejo y al arreglo de máquinas.,sust. m.,Mecánico.,
MEDIA,"Prenda de punto, seda, nailon, etc., que cubre el pie y la pierna o más arriba.",sust. f.,"Media, panty, ballerina.",
MÉDICO,"Profesional de la salud que ejerce la medicina, diagnosticando y tratando enfermedades.",sust. m.,"y f. Médico, doctor, terapeuta, facultativo.",
MEDIODÍA,Momento en que está el sol en el punto más alto de su elevación sobre el horizonte y queda dividido en dos partes el día.,sust. m.,Mediodía.,
MEDIR,"Verbo espacial locativo Comparar la cantidad desconocida, de la extensión de algo, con una unidad de medida ya establecida.",v. tr.,"Medir, calcular, evaluar, mensurar.",
MEJOR,Superior a otra cosa.,adj.,"Mejor, superior.",Peor.
MELLIZOS/AS,Hermanos o hermanas nacidos en un mismo parto.,adj.,"Mellizos, gemelos.",
MELÓN,"Fruto con cáscara blanca, amarilla o verde, de carne aromática, dulce, blanda y jugosa, que tiene en su interior un hueco donde hay muchas pepitas.",sust. m.,Melón.,
MEMORIZAR,"Verbo pleno Conservar el recuerdo de una cosa, acordarse de ella, tenerla presente.",v. tr.,"Memorizar, retener.",Olvidar.
MENDIGO,Persona que habitualmente pide limosna.,sust. m.,"Mendigo, limosnero, menesteroso.",
MENOPAUSIA,Interrupción natural de la menstruación de la mujer adulta.,sust. f.,"Menopausia, climaterio.",
MENOS,"Denota la idea de carencia, disminución o inferioridad, en comparación con otra cosa.",adv.,Menos.,Más.
MENSTRUACIÓN,"Sangre procedente del útero, que todos los meses evacuan naturalmente las mujeres y las hembras de ciertos animales.",sust. f.,"Menstruación, regla.",
MENTA,Hierba de olor agradable que se usa en infusiones y para saborizar alimentos.,sust. f.,"Menta, hierba buena.",
MENTIR,Verbo pleno Inducir intencionadamente a error a alguien.,v. intr.,"Mentir, engañar.",
MENTIRA,Expresión o manifestación contraria a lo que se sabe o piensa.,sust. f.,"Mentira, engaño.",
MENÚ,"En los restaurantes, carta que presenta el conjunto de platos y bebidas que se sirven en el lugar.",sust. m.,"Menú, carta.",
MERCADO,"Lugar público destinado a la venta y compra de mercaderías, especialmente frutas y verduras.",sust. m.,"Mercado, feria.",
MERMELADA,Preparación de frutas con azúcar que se hierven hasta obtener la consistencia de una miel.,sust. f.,"Mermelada, dulce.",
MES,Cada una de las doce partes en que se divide el año.,sust. m.,Mes.,
MESA,"Mueble generalmente de madera, que se compone de una o varias tablas lisas sostenida por uno o varios pies, y que sirve para comer, escribir, jugar u otros usos.",sust. f.,Mesa.,
METRO,"Medio de transporte subterráneo que circula sobre rieles, compuesto por vagones.",sust. m.,"Metro, subterráneo.",
MÉXICO,"País ubicado en América del Norte, cuya capital es México D.F.",sust. p.,México.,
MEZCLAR,"Verbo espacial locativo Incorporar una cosa con otra, produciendo una fusión entre ellas.",v. tr.,"Mezclar, juntar, revolver.",
MEZQUINO/A,"Persona que escatima excesivamente el gasto, sobre todo al compartir con otro.",adj.,"Mezquino, egoísta, avaro.",Generoso.
MICRO,"En Chile, medio de transporte colectivo terrestre, que se ocupa dentro de la ciudad.",sust. f.,"Micro, autobús.",
MICROSCOPIO,Instrumento óptico destinado a observar de cerca objetos extremadamente pequeños.,sust. m.,Microscopio.,
MIEDO,Perturbación angustiosa del ánimo por un riesgo o daño real o imaginario.,sust. m.,"Miedo, temor, terror, horror.",
MIEL,"Sustancia muy dulce que producen las abejas, y que sirve de alimento.",sust. f.,Miel.,
MIÉRCOLES,Tercer día de la semana civil.,sust. m.,Miércoles.,
MILAGRO,Hecho no explicable por las leyes naturales y que se atribuye a intervención sobrenatural o de origen divino.,sust. m.,"Milagro, prodigio, maravilla.",
MILITAR,Persona que forma parte de las Fuerzas Armadas del país.,sust. m.,"Militar, soldado.",
MILLONARIO/A,Persona muy poderosa económicamente.,adj.,"Millonario, rico, acaudalado, magnate.","Pobre, desposeído."
MÍMICA,"Arte de imitar, representar o expresarse por medio de gestos o ademanes.",sust. f.,"Mímica, pantomima.",
MINERO,Persona que trabaja en las minas.,sust. m.,"Minero, pirquinero.",
MINISTERIO,Cada uno de los departamentos en que se divide la gobernación de un Estado.,sust. m.,Ministerio.,
MINÚSCULA,"Letra de menor tamaño que la mayúscula, y se emplea constantemente en la escritura.",adj.,Minúscula.,Mayúscula.
MINUTO,Unidad de tiempo que equivale a sesenta segundos.,sust. m.,Minuto.,
MIRAR,Verbo de concordancia Atender por medio del sentido de la vista a algo.,v. tr.,"Mirar, observar, examinar.",
MISA,Ceremonia religiosa que se celebra como parte de la liturgia de la Iglesia católica.,sust. f.,Misa.,
MITAD,Cada una de las dos partes iguales en que se divide un todo.,sust. f.,"Mitad, medio.",
MOCHILA,Bolso que se lleva en la espalda.,sust. f.,Mochila.,
MOLESTAR,Verbo de concordancia Causar perturbación o enfado a otro.,v. tr.,Molestar.,
MOJADO/A,Una cosa humedecida por un líquido.,adj.,"Mojado, húmedo.",Seco.   
MOLESTO/A,Persona que siente una perturbación en su ánimo.,adj.,"Molesto, enojado, enfadado.",
MOLINO,"Máquina para moler o machacar granos, especialmente trigo.",sust. m.,Molino.,
MONEDA,"Pieza de metal, acuñada con los emblemas de un Estado, y que sirve de medida común para el precio de las cosas.",sust. f.,"Moneda, dinero, peso.",
MONJA,Religiosa que vive en un convento.,sust. f.,Monja.,
MONO,Nombre genérico con que se designa a cualquiera de los animales del suborden de los simios.,sust. m.,"Mono, macaco.",
MONSTRUO,Personaje fantástico que causa espanto.,sust. m.,"Monstruo, ogro.",
MONTAÑA,Monte grande o elevación de un terreno.,sust. f.,"Montaña, cerro, monte.",
MORADO/A,Color resultante de la combinación entre rojo y azul.,adj.,Morado.,
MORDER,Verbo espacial locativo Clavar los dientes en una cosa.,v. tr.,"Morder, mordisquear, masticar.",
MORIBUNDO/A,Alguien que está muy cercano a la muerte.,adj.,"Moribundo, agonizante, mortecino.",
MORIR,Verbo pleno Llegar al término de la vida.,v. intr.,"Morir, fallecer, perecer, expirar.","Nacer, vivir, existir."
MOSCA,"Insecto muy común y molesto, de cuerpo negro, de cabeza ancha, ojos salientes y alas transparentes. Su boca tiene forma de trompa con la cual chupa las sustancias de que se alimenta.",sust. f.,Mosca.,
MOSTAZA,"Salsa amarilla que se prepara con semillas picantes de flores amarillas, que se usa como condimento.",sust. f.,Mostaza.,
MOSTRAR,Verbo de concordancia Manifestar o exponer algo para que se vea.,v. tr.,"Mostrar, revelar.",
MOTEL,Establecimiento donde se da alojamiento mediante pago.,sust. m.,"Motel, hospedería, hostal.",
MOTO,"Vehículo de dos ruedas con motor, con uno o dos asientos.",sust. f.,"Moto, motocicleta, motoneta.",
MOTOR,Máquina destinada a producir movimiento a expensas de otra fuente de energía.,sust. m.,"Motor, mecanismo.",
MOZO,Persona que trabaja en restaurantes o locales similares y que tiene por oficio servir a otros.,sust. m.,"Mozo, mesero, camarero.",
MUCHAS-VECES,Algo que ocurre reiteradamente.,adv.,Muchas veces.,
MUDAR-GUAGUA,"Verbo espacial locativo Cambiar la ropa, especialmente los pañales, de la guagua.",v. tr.,"Mudar a la guagua, cambiar a la guagua.",
MUDO/A,Privado físicamente de la facultad de hablar.,adj.,Mudo.,
MUERTO/A,Que está sin vida.,adj.,"Muerto, difunto, cadáver, fallecido.",Vivo.
MUJER,Persona de sexo femenino.,sust. f.,"Mujer, hembra.","Hombre, varón, macho."
MUJERIEGO,Hombre dedicado a las mujeres.,adj.,"Mujeriego, tenorio, seductor, conquistador.",
MULTA,Sanción en dinero que se impone por una falta o delito.,sust. f.,Multa.,
MULTIPLICAR,Verbo pleno Operación aritmética que consiste en sumar reiteradamente la primera cantidad como indica la segunda. El resultado se llama producto.,v. tr.,Multiplicar.,"Dividir, separar, fraccionar, distribuir."
MUNDO,"La Tierra, el planeta que habitamos.",sust. m.,"Mundo, Tierra.",
MUNICIPALIDAD,Corporación que administra el Municipio y está formada por el Alcalde y los Concejales.,sust. f.,Municipalidad.,
MUÑECA,"Figurilla de mujer, que sirve de juguete a las niñas.",sust. f.,Muñeca.,
MURCIÉLAGO,"Mamífero insectívoro, de varias especies. Es nocturno, pasa el día durmiendo, colgado cabeza abajo.",sust. m.,Murciélago.,
MUSEO,"Lugar en que se guardan objetos notables, pertenecientes a las ciencias y las artes, para ser exhibidos al público.",sust. m.,"Museo, muestra.",
MÚSICA,"Arte de combinar los sonidos de la voz o de instrumentos o ambos, de manera que produzcan deleite.",sust. f.,"Música, melodía, armonía.",
NACER,Verbo pleno Salir el bebé o el animal del vientre materno.,v. intr.,"Nacer, ser parido.",
NACIÓN,Territorio de un país regido por un gobierno.,sust. f.,"Nación, país.",
NACIONAL,Perteneciente a una nación.,adj.,"Nacional, patrio, oriundo.",Extranjero.
NACIONALIDAD,Estado propio de una persona nacida en una nación.,sust. f.,"Nacionalidad, origen.",
NADA,Ninguna cosa.,pron.,Nada,Todo.
NADAR,"Verbo espacial locativo Trasladarse en el agua, ayudándose de los movimientos de las extremidades, sin tocar el fondo.",v. intr.,"Nadar, flotar.",
NAIPE,"Conjunto de cartulinas rectangulares que tienen figuras, que se utiliza para una variedad de juegos.",sust. m.,"Naipe, barajas, cartas.",
NARANJA,"Fruto del naranjo, de corteza rugosa, de color entre rojo y amarillo. En su interior está dividida en gajos, es comestible, jugosa y de sabor agridulce. //2. Nombre del color de la fruta.",sust. f.,Naranja.,
NARRAR,"Verbo pleno Contar lo sucedido, un hecho, un cuento o una historia ficticia.",v. tr.,"Narrar, contar, relatar.",
NATA,"Sustancia espesa, que forma una capa sobre la leche que se deja en reposo. Sirve para preparar postres.",sust. f.,"Nata, crema.",
NATURAL,Perteneciente a la naturaleza o conforme a la cualidad de las cosas.,adj.,"Natural, normal.",Artificial.
NATURALEZA,Fenómenos del mundo físico y de la vida en general.,sust. f.,"Naturaleza, medio ambiente, entorno.",
NÁUSEA,Ganas de vomitar.,sust. f.,"Náusea, asco.",
NAVIDAD,Día en que se celebra el nacimiento de Nuestro Señor Jesucristo.,sust. f.,Navidad.,
NECESITAR,Verbo pleno Tener necesidad por falta de una persona o cosa.,v. tr.,"Necesitar, requerir, precisar.",
NEGOCIO,Local en que se negocia o comercia.,sust. m.,Negocio.,
NEGRO,De color totalmente oscuro como el carbón y en realidad falto de todo color.,adj.,Negro.,
NERVIOSO/A,"Persona inquieta, incapaz de permanecer en reposo, por causa de problemas emocionales.",adj.,"Nervioso, inquieto, desapacible.",Tranquilo.
NEUMÁTICO,El anillo tubular de goma que está en las ruedas de los vehículos y que se llena de aire a presión.,sust. m.,"Neumático, llanta, rueda.",
NEURÓLOGO/A,Médico especializado en el sistema nervioso.,sust. m.,y f. Neurólogo.,
NEUTRO/A,Algo que no es ni una ni otra cosa.,adj.,"Neutro, indiferente.",
NEVAR,Verbo pleno Caer nieve.,v. intr.,Nevar.,
NICARAGUA,País centroamericano cuya capital es Managua.,sust. p.,Nicaragua.,
NICOTINA,Sustancia dañina que se extrae del tabaco y de los cigarrillos.,sust. f.,Nicotina.,
NIETO/A,Hijo o hija respecto de sus abuelos.,sust. m.,y f. Nieto.,
NIEVE,"Agua muy helada que se desprende de las nubes, y llega al suelo en copos blancos.",sust. f.,Nieve.,
NINGÚN/A,Ni una de las cosas a las que se refiere el sustantivo al que acompaña.,adj.,Ningún.,
NIÑERA,"Persona que por un salario o sueldo, cuida niños.",sust. f.,"Niñera, nana, nodriza, institutriz.",
NIÑO/A,Persona que tiene pocos años.,sust. m.,"y f. Niño, muchacho, chiquillo, nene.",Adulto.
NÍSPERO,"Fruta pequeña, de color naranjo con varios cuescos en su interior, producida por el árbol del mismo nombre.",sust. m.,Níspero.,
NO,Expresión que se utiliza para negar un hecho o una cosa.,adv.,No.,Sí.
NOCHE,Tiempo en que falta la claridad del día.,sust. f.,"Noche, crepúsculo.","Día, claridad."
NO-ENTENDER,Verbo pleno No tener una idea clara de las cosas; no comprenderlas.,v. tr.,"No entender, no saber, desconocer.","Entender, saber."
NO-GUSTAR,Verbo pleno Sentir desagrado por algo.,v. intr.,Desagradar.,Agradar.
NO-HABER,Verbo pleno Inexistencia de algo.,v. intr.,No hay.,Hay.
NO-HACER-CASO,Verbo pleno Desatender lo que le ordenan o solicitan.,v. tr.,"No hacer caso, no tener en cuenta.",
NO-PODER,Verbo pleno Incapacidad para realizar alguna cosa.,v. tr.,"No poder, imposibilidad, impedimento.","Poder, lograr, ser capaz."
NO-SABER,Verbo pleno No tener conocimiento sobre algo.,v. tr.,"No saber, desconocer.",Saber.
NOMBRE,Palabra con que se denomina algo o alguien.,sust. m.,"Nombre, apelativo, denominación.",
NORMATIVO/A,Conjunto de reglas que se aplican a una determinada actividad.,adj.,"Normativo, preceptivo, reglado.",
NORTE,Es uno de los cuatro puntos cardinales. El norte está a la izquierda cuando la persona enfrenta el sol en la mañana.,sust. m.,Norte.,
NORTEAMÉRICA,"Subcontinente de América, ubicado en el hemisferio norte. Abarca Canadá, Estados Unidos y México",sust. p.,"Norteamérica, América del Norte.",
